Category: All categories

Week,NFL: (United States),NBA: (United States),Major League Baseball: (United States),National Hockey League: (United States),College football: (United States)
2012-10-28,22,10,4,1,7
2012-11-04,22,9,2,2,6
2012-11-11,23,9,2,2,7
2012-11-18,30,8,2,1,10
2012-11-25,23,8,2,1,6
2012-12-02,25,9,3,2,4
2012-12-09,25,8,3,2,2
2012-12-16,27,8,2,1,2
2012-12-23,29,11,2,1,3
2012-12-30,37,9,2,3,5
2013-01-06,30,9,2,6,4
2013-01-13,28,9,2,4,1
2013-01-20,21,10,2,5,1
2013-01-27,10,10,2,4,1
2013-02-03,15,10,2,3,1
2013-02-10,6,12,2,3,1
2013-02-17,6,15,2,3,0
2013-02-24,9,10,3,4,0
2013-03-03,6,11,4,4,0
2013-03-10,12,10,3,3,0
2013-03-17,8,11,3,3,0
2013-03-24,7,11,4,4,0
2013-03-31,7,11,9,4,0
2013-04-07,7,12,7,3,0
2013-04-14,9,13,7,4,0
2013-04-21,32,16,7,4,1
2013-04-28,11,18,7,6,0
2013-05-05,5,18,7,6,0
2013-05-12,4,17,7,6,0
2013-05-19,4,16,7,5,0
2013-05-26,4,16,8,6,0
2013-06-02,4,19,11,5,0
2013-06-09,4,20,8,5,0
2013-06-16,4,30,7,5,0
2013-06-23,5,14,7,4,1
2013-06-30,4,9,9,3,1
2013-07-07,4,8,10,1,1
2013-07-14,5,6,8,1,1
2013-07-21,6,5,9,1,1
2013-07-28,8,4,10,1,1
2013-08-04,15,4,9,1,1
2013-08-11,12,3,8,1,1
2013-08-18,15,3,9,1,2
2013-08-25,19,3,7,1,6
2013-09-01,27,2,8,1,8
2013-09-08,36,2,8,1,7
2013-09-15,33,2,8,2,6
2013-09-22,31,3,9,2,5
2013-09-29,29,3,10,3,6
2013-10-06,31,4,10,3,6
2013-10-13,28,4,9,3,7
2013-10-20,27,5,5,3,7
2013-10-27,26,11,6,3,6
2013-11-03,26,9,2,3,6
2013-11-10,24,9,2,3,6
2013-11-17,26,8,2,3,6
2013-11-24,33,8,2,3,8
2013-12-01,23,8,3,2,7
2013-12-08,27,9,3,3,5
2013-12-15,26,9,2,3,2
2013-12-22,31,10,2,3,3
2013-12-29,42,8,2,3,7
2014-01-05,34,9,2,3,4
2014-01-12,30,8,2,3,1
2014-01-19,24,9,2,3,1
2014-01-26,10,9,2,3,1
2014-02-02,15,8,2,3,1
2014-02-09,6,9,2,2,0
2014-02-16,6,13,2,2,0
2014-02-23,8,9,3,2,0
2014-03-02,6,9,3,4,0
2014-03-09,11,9,3,3,0
2014-03-16,8,9,3,3,0
2014-03-23,7,9,4,3,0
2014-03-30,6,10,9,3,0
2014-04-06,6,10,8,4,0
2014-04-13,6,13,8,6,0
2014-04-20,8,18,8,7,0
2014-04-27,7,24,7,8,0
2014-05-04,33,20,7,5,0
2014-05-11,10,19,7,7,0
2014-05-18,5,18,7,4,0
2014-05-25,4,19,7,5,0
2014-06-01,4,15,9,4,0
2014-06-08,3,19,7,5,0
2014-06-15,3,13,7,1,0
2014-06-22,3,14,7,3,0
2014-06-29,3,8,8,2,0
2014-07-06,4,12,8,1,1
2014-07-13,5,9,8,1,1
2014-07-20,6,5,8,1,1
2014-07-27,7,4,9,1,1
2014-08-03,14,4,8,1,1
2014-08-10,11,4,7,1,1
2014-08-17,14,3,7,1,2
2014-08-24,17,3,7,1,6
2014-08-31,26,3,7,1,8
2014-09-07,36,3,7,1,7
2014-09-14,32,2,7,1,6
2014-09-21,30,3,9,1,7
2014-09-28,29,3,11,2,7
2014-10-05,29,5,10,3,9
2014-10-12,30,5,8,3,8
2014-10-19,29,5,4,3,8
2014-10-26,29,11,6,3,8
2014-11-02,27,10,2,3,7
2014-11-09,27,9,2,2,9
2014-11-16,27,9,2,2,9
2014-11-23,36,8,2,3,10
2014-11-30,26,8,2,3,9
2014-12-07,28,9,3,3,8
2014-12-14,31,11,2,3,3
2014-12-21,37,12,2,3,4
2014-12-28,41,9,2,3,12
2015-01-04,37,10,2,3,3
2015-01-11,35,9,2,3,6
2015-01-18,28,10,2,4,1
2015-01-25,11,10,2,3,1
2015-02-01,15,9,2,3,1
2015-02-08,5,10,2,3,1
2015-02-15,7,13,2,3,0
2015-02-22,7,9,2,4,0
2015-03-01,7,9,3,4,0
2015-03-08,13,9,3,3,0
2015-03-15,7,9,2,3,0
2015-03-22,6,9,3,4,0
2015-03-29,6,10,4,4,0
2015-04-05,5,12,10,6,0
2015-04-12,6,15,9,7,0
2015-04-19,8,20,9,7,0
2015-04-26,25,18,8,6,0
2015-05-03,8,18,8,5,0
2015-05-10,5,22,8,5,0
2015-05-17,4,21,8,4,0
2015-05-24,4,19,9,6,0
2015-05-31,4,17,9,4,0
2015-06-07,4,29,12,4,0
2015-06-14,3,26,9,3,0
2015-06-21,4,15,9,3,0
2015-06-28,4,10,10,2,0
2015-07-05,4,9,11,1,1
2015-07-12,5,6,9,1,1
2015-07-19,5,4,10,1,1
2015-07-26,6,3,13,1,1
2015-08-02,8,3,10,1,1
2015-08-09,17,3,10,1,1
