Category: All categories

Region,NFL: (10/24/12 - 10/24/17),NBA: (10/24/12 - 10/24/17),Major League Baseball: (10/24/12 - 10/24/17),National Hockey League: (10/24/12 - 10/24/17),College football: (10/24/12 - 10/24/17)
South Dakota,100,37,24,9,12
North Dakota,100,36,23,23,13
Delaware,97,46,28,14,8
District of Columbia,94,51,30,14,12
New Mexico,93,35,19,5,9
Wyoming,90,29,18,9,14
Wisconsin,90,40,29,10,12
Nevada,89,58,36,13,14
Colorado,89,34,22,13,11
Montana,88,30,20,11,13
Washington,86,36,21,7,17
Maryland,85,45,29,12,7
Minnesota,84,41,26,27,9
Arizona,82,41,27,10,11
Pennsylvania,81,41,32,24,11
Rhode Island,80,43,32,17,5
Hawaii,80,54,20,7,16
New Jersey,75,51,34,18,7
Iowa,74,34,27,7,18
Louisiana,73,46,13,3,18
Alaska,73,37,17,16,9
Massachusetts,73,47,31,22,6
North Carolina,73,44,17,7,15
New Hampshire,72,35,29,23,6
Maine,71,35,30,17,6
Mississippi,70,50,15,3,28
Idaho,70,31,16,6,18
Ohio,70,51,28,9,19
South Carolina,68,39,18,6,28
Texas,68,49,19,5,15
Connecticut,67,43,32,15,7
Virginia,66,35,19,9,10
Illinois,66,52,38,19,9
Indiana,65,45,24,7,11
Vermont,64,33,32,22,6
California,63,58,26,9,8
Georgia,63,49,17,5,24
Missouri,63,33,41,15,10
Florida,63,52,24,10,16
West Virginia,63,30,19,8,20
Kansas,61,32,28,5,11
Utah,60,51,15,6,15
Nebraska,60,34,23,7,31
New York,60,55,33,18,6
Michigan,59,44,28,18,17
Tennessee,57,38,16,9,22
Kentucky,54,37,17,5,16
Oklahoma,51,49,14,4,24
Arkansas,49,39,19,3,19
Alabama,47,38,15,4,45
Oregon,44,41,19,6,12
